parsable_tree,readable_tree,accuracy,interpretability,ground_truth_value,seed,pop_size,num_gen,num_offsprings,encoder_type,ground_truth_type,sampling,warm-up,data,split_seed,latex_tree,problem
[x_4],x_4,21.59109878540039,-78.9000015258789,1234.0,700,200,50,200,not_spcified,elastic_model,not_specified,not_specified,heating,41,x_4,heating
"[+, -, -4.61, x_6, *, x_4, -4.3]",((-4.61-x_6)+(x_4*-4.3)),14.485133171081545,-76.19999694824219,1234.0,700,200,50,200,not_spcified,elastic_model,not_specified,not_specified,heating,41,-4.61-x_6+x_4\times-4.3,heating
"[*, -, 3.5, x_0, /, x_3, +, x_6, -4.3]",((3.5-x_0)*(x_3/(x_6+-4.3))),13.028661727905272,-75.30000305175781,1234.0,700,200,50,200,not_spcified,elastic_model,not_specified,not_specified,heating,41,\left(3.5-x_0\right) \frac{x_3}{x_6-4.3},heating
"[-, -, x_3, x_6, x_4]",((x_3-x_6)-x_4),15.103473663330078,-77.0999984741211,1234.0,700,200,50,200,not_spcified,elastic_model,not_specified,not_specified,heating,41,x_3-x_6-x_4,heating
"[+, *, x_4, -3.14, -, /, x_6, -0.81, +, x_1, x_4]",((x_4*-3.14)+((x_6/-0.81)-(x_1+x_4))),10.016345024108888,-74.4000015258789,1234.0,700,200,50,200,not_spcified,elastic_model,not_specified,not_specified,heating,41,x_4\times-3.14+\frac{x_6}{-0.81}-x_1+x_4,heating
"[+, +, x_2, +, +, x_6, x_1, +, x_6, x_1, +, +, log, x_3, x_1, *, 4.59, max, x_6, x_3]","((x_2+((x_6+x_1)+(x_6+x_1)))+((log(abs(x_3))+x_1)+(4.59*max(x_6,x_3))))",8.928449630737305,-58.79999923706055,1234.0,700,200,50,200,not_spcified,elastic_model,not_specified,not_specified,heating,41,"x_2+x_6+x_1+x_6+x_1+\ln\left(|x_3|\right)+x_1+4.59\times\operatorname{max}\left(x_6, x_3\right)",heating
"[+, +, +, +, x_6, x_2, +, x_6, x_1, +, +, x_6, x_2, x_6, +, +, log, x_3, +, x_4, x_6, x_6]",((((x_6+x_2)+(x_6+x_1))+((x_6+x_2)+x_6))+((log(abs(x_3))+(x_4+x_6))+x_6)),9.61483669281006,-61.29999923706055,1234.0,700,200,50,200,not_spcified,elastic_model,not_specified,not_specified,heating,41,x_6+x_2+x_6+x_1+x_6+x_2+x_6+\ln\left(|x_3|\right)+x_4+x_6+x_6,heating
"[-, +, *, x_4, -4.61, -, /, x_6, -0.81, +, x_4, x_1, *, -, +, x_0, x_4, /, x_3, x_3, x_6]",(((x_4*-4.61)+((x_6/-0.81)-(x_4+x_1)))-(((x_0+x_4)-(x_3/x_3))*x_6)),9.887676239013672,-69.9000015258789,1234.0,700,200,50,200,not_spcified,elastic_model,not_specified,not_specified,heating,41,x_4\times-4.61+\frac{x_6}{-0.81}-x_4+x_1-\left(x_0+x_4-\frac{x_3}{x_3}\right) x_6,heating
"[-, +, *, x_4, -4.61, -, /, x_6, -0.81, +, x_4, x_1, *, -, max, x_3, x_4, *, x_0, x_7, x_6]","(((x_4*-4.61)+((x_6/-0.81)-(x_4+x_1)))-((max(x_3,x_4)-(x_0*x_7))*x_6))",9.756162643432615,-62.0,1234.0,700,200,50,200,not_spcified,elastic_model,not_specified,not_specified,heating,41,"x_4\times-4.61+\frac{x_6}{-0.81}-x_4+x_1-\left(\operatorname{max}\left(x_3, x_4\right)-x_0 x_7\right) x_6",heating
[x_4],x_4,21.59109878540039,-78.9000015258789,1234.0,701,200,50,200,not_spcified,elastic_model,not_specified,not_specified,heating,41,x_4,heating
"[+, x_2, +, x_6, +, -, -1.05, x_1, x_4]",(x_2+(x_6+((-1.05-x_1)+x_4))),13.439634323120115,-75.30000305175781,1234.0,701,200,50,200,not_spcified,elastic_model,not_specified,not_specified,heating,41,x_2+x_6-1.05-x_1+x_4,heating
"[-, +, x_4, x_6, x_3]",((x_4+x_6)-x_3),15.103473663330078,-77.0999984741211,1234.0,701,200,50,200,not_spcified,elastic_model,not_specified,not_specified,heating,41,x_4+x_6-x_3,heating
"[+, +, x_6, +, x_4, +, x_4, x_1, -, x_4, x_3]",((x_6+(x_4+(x_4+x_1)))+(x_4-x_3)),9.397994995117188,-74.4000015258789,1234.0,701,200,50,200,not_spcified,elastic_model,not_specified,not_specified,heating,41,x_6+x_4+x_4+x_1+x_4-x_3,heating
"[+, +, x_6, x_4, -, x_4, x_3]",((x_6+x_4)+(x_4-x_3)),14.126370429992676,-76.19999694824219,1234.0,701,200,50,200,not_spcified,elastic_model,not_specified,not_specified,heating,41,x_6+x_4+x_4-x_3,heating
"[-, x_3, +, x_6, x_4]",(x_3-(x_6+x_4)),15.103473663330078,-77.0999984741211,1234.0,701,200,50,200,not_spcified,elastic_model,not_specified,not_specified,heating,41,x_3-x_6+x_4,heating
[x_4],x_4,21.59109878540039,-78.9000015258789,1234.0,702,200,50,200,not_spcified,elastic_model,not_specified,not_specified,heating,41,x_4,heating
"[+, *, x_4, 4.11, x_1]",((x_4*4.11)+x_1),17.709962844848633,-77.0999984741211,1234.0,702,200,50,200,not_spcified,elastic_model,not_specified,not_specified,heating,41,x_4\times4.11+x_1,heating
"[-, log, +, log, x_3, *, x_1, x_4, -, x_6, x_4]",(log(abs((log(abs(x_3))+(x_1*x_4))))-(x_6-x_4)),9.006525039672852,-58.09999847412109,1234.0,702,200,50,200,not_spcified,elastic_model,not_specified,not_specified,heating,41,\ln\left(|\ln\left(|x_3|\right)+x_1 x_4|\right)-x_6-x_4,heating
"[+, *, x_4, 4.11, +, x_4, +, x_2, x_6]",((x_4*4.11)+(x_4+(x_2+x_6))),11.19525146484375,-75.30000305175781,1234.0,702,200,50,200,not_spcified,elastic_model,not_specified,not_specified,heating,41,x_4\times4.11+x_4+x_2+x_6,heating
"[+, x_4, /, +, x_6, -3.5, 2.38]",(x_4+((x_6+-3.5)/2.38)),13.813616752624512,-76.19999694824219,1234.0,702,200,50,200,not_spcified,elastic_model,not_specified,not_specified,heating,41,x_4+\frac{x_6-3.5}{2.38},heating
