parsable_tree,readable_tree,accuracy,interpretability,ground_truth_value,seed,pop_size,num_gen,num_offsprings,encoder_type,ground_truth_type,sampling,warm-up,data,split_seed,latex_tree,problem
[x_12],x_12,40.744754791259766,1.0,1234.0,700,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,41,x_{12},boston
"[-, x_5, x_12]",(x_5-x_12),31.643882751464844,3.0,1234.0,700,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,41,- x_{12} + x_{5},boston
"[-, x_12, x_5]",(x_12-x_5),31.643882751464844,3.0,1234.0,700,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,41,x_{12} - x_{5},boston
"[-, x_12, max, x_5, x_6]","(x_12-max(x_5,x_6))",21.478347778320312,5.0,1234.0,700,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,41,"x_{12} - \max\left(x_{5}, x_{6}\right)",boston
"[-, x_12, max, **3, **3, x_3, +, x_5, log, x_5]","(x_12-max(((x_3)**3)**3,(x_5+log(abs(x_5)))))",19.387380599975582,10.0,1234.0,700,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,41,"x_{12} - \max\left(x_{5} + \log{\left(\left|{x_{5}}\right| \right)}, \left(x_{3}^{3}\right)^{3}\right)",boston
"[-, x_12, max, **3, **3, x_3, -, x_5, max, x_11, x_9]","(x_12-max(((x_3)**3)**3,(x_5-max(x_11,x_9))))",19.01917266845703,11.0,1234.0,700,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,41,"x_{12} - \max\left(x_{5} - \max\left(x_{11}, x_{9}\right), \left(x_{3}^{3}\right)^{3}\right)",boston
"[-, max, **3, **3, x_3, x_5, x_12]","(max(((x_3)**3)**3,x_5)-x_12)",21.19835090637207,7.0,1234.0,700,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,41,"- x_{12} + \max\left(x_{5}, \left(x_{3}^{3}\right)^{3}\right)",boston
"[-, max, **3, x_6, x_5, x_12]","(max((x_6)**3,x_5)-x_12)",21.295764923095703,6.0,1234.0,700,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,41,"- x_{12} + \max\left(x_{5}, x_{6}^{3}\right)",boston
"[-, x_12, max, **3, **3, x_3, x_5]","(x_12-max(((x_3)**3)**3,x_5))",21.19835090637207,7.0,1234.0,700,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,41,"x_{12} - \max\left(x_{5}, \left(x_{3}^{3}\right)^{3}\right)",boston
"[-, x_12, max, max, x_5, x_6, **3, x_3]","(x_12-max(max(x_5,x_6),(x_3)**3))",19.93112564086914,8.0,1234.0,700,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,41,"x_{12} - \max\left(x_{3}^{3}, x_{5}, x_{6}\right)",boston
[x_12],x_12,40.744754791259766,1.0,1234.0,701,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,41,x_{12},boston
"[-, x_12, x_5]",(x_12-x_5),31.643882751464844,3.0,1234.0,701,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,41,x_{12} - x_{5},boston
"[-, x_5, x_12]",(x_5-x_12),31.643882751464844,3.0,1234.0,701,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,41,- x_{12} + x_{5},boston
"[-, +, max, 2.28, x_5, x_12, max, x_3, x_5]","((max(2.28,x_5)+x_12)-max(x_3,x_5))",20.95761108398437,9.0,1234.0,701,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,41,"x_{12} + \max\left(2.28, x_{5}\right) - \max\left(x_{3}, x_{5}\right)",boston
"[-, max, x_5, x_3, x_12]","(max(x_5,x_3)-x_12)",21.19835090637207,5.0,1234.0,701,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,41,"- x_{12} + \max\left(x_{3}, x_{5}\right)",boston
"[-, /, -, +, x_10, x_12, max, x_10, x_5, -1.08, **3, **3, 0.2]","((((x_10+x_12)-max(x_10,x_5))/-1.08)-((0.2)**3)**3)",20.18901634216309,13.0,1234.0,701,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,41,"\frac{x_{10} + x_{12} - \max\left(x_{10}, x_{5}\right)}{-1.08} - \left(0.2^{3}\right)^{3}",boston
"[-, x_12, max, x_3, x_5]","(x_12-max(x_3,x_5))",21.19835090637207,5.0,1234.0,701,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,41,"x_{12} - \max\left(x_{3}, x_{5}\right)",boston
"[-, +, x_10, -, +, x_12, x_12, max, x_5, x_10, max, x_5, max, x_6, x_5]","((x_10+((x_12+x_12)-max(x_5,x_10)))-max(x_5,max(x_6,x_5)))",18.94855308532715,15.0,1234.0,701,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,41,"x_{10} + x_{12} + x_{12} - \max\left(x_{10}, x_{5}\right) - \max\left(x_{5}, x_{6}\right)",boston
"[-, x_12, x_5]",(x_12-x_5),31.643882751464844,3.0,1234.0,702,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,41,x_{12} - x_{5},boston
[x_12],x_12,40.744754791259766,1.0,1234.0,702,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,41,x_{12},boston
"[**3, -, 2.95, x_12]",((2.95-x_12))**3,30.69764709472656,4.0,1234.0,702,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,41,\left(2.95 - x_{12}\right)^{3},boston
"[-, x_5, x_12]",(x_5-x_12),31.643882751464844,3.0,1234.0,702,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,41,- x_{12} + x_{5},boston
"[max, -, x_5, x_12, -0.45]","max((x_5-x_12),-0.45)",25.135766983032227,5.0,1234.0,702,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,41,"\max\left(-0.45, - x_{12} + x_{5}\right)",boston
"[-, max, max, -, x_5, x_9, log, x_5, **3, x_3, x_12]","(max(max((x_5-x_9),log(abs(x_5))),(x_3)**3)-x_12)",18.457979202270508,11.0,1234.0,702,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,41,"- x_{12} + \max\left(x_{3}^{3}, x_{5} - x_{9}, \log{\left(\left|{x_{5}}\right| \right)}\right)",boston
"[max, -, x_5, x_12, log, 0.57]","max((x_5-x_12),log(abs(0.57)))",25.02044105529785,6.0,1234.0,702,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,41,"\max\left(- x_{12} + x_{5}, \log{\left(0.57 \right)}\right)",boston
"[-, max, -, x_5, x_10, x_3, x_12]","(max((x_5-x_10),x_3)-x_12)",19.302528381347656,7.0,1234.0,702,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,41,"- x_{12} + \max\left(x_{3}, - x_{10} + x_{5}\right)",boston
[x_12],x_12,40.744754791259766,1.0,1234.0,703,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,41,x_{12},boston
"[-, x_12, x_5]",(x_12-x_5),31.643882751464844,3.0,1234.0,703,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,41,x_{12} - x_{5},boston
"[-, x_5, x_12]",(x_5-x_12),31.643882751464844,3.0,1234.0,703,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,41,- x_{12} + x_{5},boston
"[-, max, -, x_5, x_9, x_3, x_12]","(max((x_5-x_9),x_3)-x_12)",19.41761779785156,7.0,1234.0,703,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,41,"- x_{12} + \max\left(x_{3}, x_{5} - x_{9}\right)",boston
"[-, max, -, x_5, x_9, *, x_0, x_3, x_12]","(max((x_5-x_9),(x_0*x_3))-x_12)",19.393695831298828,9.0,1234.0,703,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,41,"- x_{12} + \max\left(x_{0} x_{3}, x_{5} - x_{9}\right)",boston
"[-, max, x_5, x_3, x_12]","(max(x_5,x_3)-x_12)",21.19835090637207,5.0,1234.0,703,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,41,"- x_{12} + \max\left(x_{3}, x_{5}\right)",boston
"[-, max, x_5, **3, 0.47, x_12]","(max(x_5,(0.47)**3)-x_12)",21.186298370361328,6.0,1234.0,703,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,41,"- x_{12} + \max\left(0.47^{3}, x_{5}\right)",boston
"[-, max, -, x_5, **3, x_9, *, +, x_12, x_9, x_3, x_12]","(max((x_5-(x_9)**3),((x_12+x_9)*x_3))-x_12)",18.124496459960938,12.0,1234.0,703,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,41,"- x_{12} + \max\left(x_{3} \left(x_{12} + x_{9}\right), x_{5} - x_{9}^{3}\right)",boston
"[-, max, -, x_5, **3, x_9, *, x_12, x_3, x_12]","(max((x_5-(x_9)**3),(x_12*x_3))-x_12)",18.72437858581543,10.0,1234.0,703,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,41,"- x_{12} + \max\left(x_{12} x_{3}, x_{5} - x_{9}^{3}\right)",boston
[x_12],x_12,40.744754791259766,1.0,1234.0,704,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,41,x_{12},boston
"[-, x_5, x_12]",(x_5-x_12),31.643882751464844,3.0,1234.0,704,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,41,- x_{12} + x_{5},boston
"[-, x_12, max, x_5, x_3]","(x_12-max(x_5,x_3))",21.19835090637207,5.0,1234.0,704,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,41,"x_{12} - \max\left(x_{3}, x_{5}\right)",boston
"[-, x_12, x_5]",(x_12-x_5),31.643882751464844,3.0,1234.0,704,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,41,x_{12} - x_{5},boston
"[-, max, +, **3, x_11, x_5, x_6, x_12]","(max(((x_11)**3+x_5),x_6)-x_12)",20.97903060913086,8.0,1234.0,704,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,41,"- x_{12} + \max\left(x_{6}, x_{11}^{3} + x_{5}\right)",boston
"[-, max, x_5, x_3, x_12]","(max(x_5,x_3)-x_12)",21.19835090637207,5.0,1234.0,704,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,41,"- x_{12} + \max\left(x_{3}, x_{5}\right)",boston
"[-, x_12, max, **3, *, x_6, 1.1, -, x_5, x_10]","(x_12-max(((x_6*1.1))**3,(x_5-x_10)))",20.53974723815918,10.0,1234.0,704,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,41,"x_{12} - \max\left(\left(x_{6} \cdot 1.1\right)^{3}, - x_{10} + x_{5}\right)",boston
"[-, max, +, -, 1.1, 1.1, max, x_5, x_3, log, x_12, x_12]","(max(((1.1-1.1)+max(x_5,x_3)),log(abs(x_12)))-x_12)",19.63302230834961,12.0,1234.0,704,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,41,"- x_{12} + \max\left(\max\left(x_{3}, x_{5}\right) - 1.1 + 1.1, \log{\left(\left|{x_{12}}\right| \right)}\right)",boston
"[-, x_5, x_12]",(x_5-x_12),31.643882751464844,3.0,1234.0,705,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,41,- x_{12} + x_{5},boston
"[-, x_12, x_5]",(x_12-x_5),31.643882751464844,3.0,1234.0,705,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,41,x_{12} - x_{5},boston
[x_12],x_12,40.744754791259766,1.0,1234.0,705,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,41,x_{12},boston
"[-, x_12, max, x_3, -, x_5, x_10]","(x_12-max(x_3,(x_5-x_10)))",19.302528381347656,7.0,1234.0,705,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,41,"x_{12} - \max\left(x_{3}, - x_{10} + x_{5}\right)",boston
"[-, x_12, max, x_3, x_5]","(x_12-max(x_3,x_5))",21.19835090637207,5.0,1234.0,705,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,41,"x_{12} - \max\left(x_{3}, x_{5}\right)",boston
"[**3, -, x_12, 1.16]",((x_12-1.16))**3,29.680137634277344,4.0,1234.0,705,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,41,\left(x_{12} - 1.16\right)^{3},boston
