parsable_tree,readable_tree,accuracy,interpretability,ground_truth_value,seed,pop_size,num_gen,num_offsprings,encoder_type,ground_truth_type,sampling,warm-up,data,split_seed,latex_tree,problem
[x_5],x_5,48.859561920166016,1.0,1234.0,700,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,42,x_5,boston
"[-, x_5, x_12]",(x_5-x_12),34.15042495727539,3.0,1234.0,700,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,42,x_5-x_{12},boston
"[-, x_12, x_5]",(x_12-x_5),34.15042495727539,3.0,1234.0,700,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,42,x_{12}-x_5,boston
"[**3, -, x_12, 1.23]",((x_12-1.23))**3,31.70984649658203,4.0,1234.0,700,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,42,\left(x_{12}-1.23\right)^3,boston
"[-, x_12, max, -, -, x_5, x_12, x_10, **3, **3, x_3]","(x_12-max(((x_5-x_12)-x_10),((x_3)**3)**3))",21.068552017211918,11.0,1234.0,700,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,42,"x_{12}-\operatorname{max}\left(x_5-x_{12}-x_{10}, \left({x_3}^3\right)^3\right)",boston
"[-, max, x_5, 0.4, x_12]","(max(x_5,0.4)-x_12)",23.095935821533203,5.0,1234.0,700,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,42,"\operatorname{max}\left(x_5, 0.4\right)-x_{12}",boston
"[-, max, log, 1.23, x_5, x_12]","(max(log(abs(1.23)),x_5)-x_12)",22.974363327026367,6.0,1234.0,700,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,42,"\operatorname{max}\left(\ln\left(|1.23|\right), x_5\right)-x_{12}",boston
"[+, 4.84, +, max, -, x_5, x_10, 0.4, +, -, -4.48, x_12, max, 4.84, x_7]","(4.84+(max((x_5-x_10),0.4)+((-4.48-x_12)+max(4.84,x_7))))",20.92436790466309,15.0,1234.0,700,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,42,"4.84+\operatorname{max}\left(x_5-x_{10}, 0.4\right)-4.48-x_{12}+\operatorname{max}\left(4.84, x_7\right)",boston
"[-, x_12, max, x_3, max, -, x_5, x_10, x_3]","(x_12-max(x_3,max((x_5-x_10),x_3)))",21.105897903442383,9.0,1234.0,700,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,42,"x_{12}-\operatorname{max}\left(x_3, \operatorname{max}\left(x_5-x_{10}, x_3\right)\right)",boston
"[-, max, -, x_5, x_9, x_3, x_12]","(max((x_5-x_9),x_3)-x_12)",21.252403259277344,7.0,1234.0,700,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,42,"\operatorname{max}\left(x_5-x_9, x_3\right)-x_{12}",boston
[x_12],x_12,39.54974365234375,1.0,1234.0,701,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,42,x_{12},boston
"[-, x_5, x_12]",(x_5-x_12),34.15042495727539,3.0,1234.0,701,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,42,x_5-x_{12},boston
"[max, -0.98, -, x_5, x_12]","max(-0.98,(x_5-x_12))",28.298154830932617,5.0,1234.0,701,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,42,"\operatorname{max}\left(-0.98, x_5-x_{12}\right)",boston
"[max, -, x_3, x_12, -, x_5, +, x_9, x_12]","max((x_3-x_12),(x_5-(x_9+x_12)))",21.252403259277344,9.0,1234.0,701,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,42,"\operatorname{max}\left(x_3-x_{12}, x_5-x_9+x_{12}\right)",boston
