parsable_tree,readable_tree,accuracy,interpretability,ground_truth_value,seed,pop_size,num_gen,num_offsprings,encoder_type,ground_truth_type,sampling,warm-up,data,split_seed,latex_tree,problem
"[+, +, max, x_3, x_5, x_5, max, *, x_12, *, -3.61, x_4, *, x_12, -, -3.71, x_5]","((max(x_3,x_5)+x_5)+max((x_12*(-3.61*x_4)),(x_12*(-3.71-x_5))))",13.89411163330078,17.0,1234.0,702,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,40,"\operatorname{max}\left(x_3, x_5\right)+x_5+\operatorname{max}\left(x_{12} -3.61\times x_4, x_{12} \left(-3.71-x_5\right)\right)",boston
"[+, +, max, x_5, max, x_5, x_12, x_5, -, *, x_12, -, -4.76, x_5, x_10]","((max(x_5,max(x_5,x_12))+x_5)+((x_12*(-4.76-x_5))-x_10))",15.207605361938477,15.0,1234.0,702,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,40,"\operatorname{max}\left(x_5, \operatorname{max}\left(x_5, x_{12}\right)\right)+x_5+x_{12} \left(-4.76-x_5\right)-x_{10}",boston
"[-, x_12, max, x_3, x_5]","(x_12-max(x_3,x_5))",15.75085163116455,5.0,1234.0,702,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,40,"x_{12}-\operatorname{max}\left(x_3, x_5\right)",boston
[x_12],x_12,32.10724639892578,1.0,1234.0,703,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,40,x_{12},boston
"[-, x_12, x_5]",(x_12-x_5),25.76051902770996,3.0,1234.0,703,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,40,x_{12}-x_5,boston
"[log, -, x_12, -1.2]",log(abs((x_12--1.2))),24.091501235961918,4.0,1234.0,703,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,40,\ln\left(|x_{12}+1.2|\right),boston
"[-, x_5, x_12]",(x_5-x_12),25.76051902770996,3.0,1234.0,703,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,40,x_5-x_{12},boston
"[**3, +, x_12, -, -4.88, x_5]",((x_12+(-4.88-x_5)))**3,18.82738304138184,6.0,1234.0,703,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,40,\left(x_{12}-4.88-x_5\right)^3,boston
"[-, x_12, max, x_5, x_12]","(x_12-max(x_5,x_12))",21.2441349029541,5.0,1234.0,703,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,40,"x_{12}-\operatorname{max}\left(x_5, x_{12}\right)",boston
"[-, x_12, max, **3, **3, x_3, x_5]","(x_12-max(((x_3)**3)**3,x_5))",15.75085163116455,7.0,1234.0,703,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,40,"x_{12}-\operatorname{max}\left(\left({x_3}^3\right)^3, x_5\right)",boston
"[-, x_12, max, max, log, x_12, **3, x_3, x_5]","(x_12-max(max(log(abs(x_12)),(x_3)**3),x_5))",14.602855682373049,9.0,1234.0,703,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,40,"x_{12}-\operatorname{max}\left(\operatorname{max}\left(\ln\left(|x_{12}|\right), {x_3}^3\right), x_5\right)",boston
[x_12],x_12,32.10724639892578,1.0,1234.0,704,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,40,x_{12},boston
"[-, x_12, x_5]",(x_12-x_5),25.76051902770996,3.0,1234.0,704,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,40,x_{12}-x_5,boston
"[*, max, x_6, x_5, x_12]","(max(x_6,x_5)*x_12)",20.38639640808105,5.0,1234.0,704,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,40,"\operatorname{max}\left(x_6, x_5\right) x_{12}",boston
"[-, -, +, x_5, x_12, x_5, max, *, *, x_8, x_3, *, -4.73, x_12, x_5]","(((x_5+x_12)-x_5)-max(((x_8*x_3)*(-4.73*x_12)),x_5))",14.862680435180664,15.0,1234.0,704,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,40,"x_5+x_{12}-x_5-\operatorname{max}\left(x_8 x_3 -4.73\times x_{12}, x_5\right)",boston
"[-, -, +, x_5, x_12, x_5, max, *, x_3, /, x_8, x_10, x_5]","(((x_5+x_12)-x_5)-max((x_3*(x_8/x_10)),x_5))",15.319009780883787,13.0,1234.0,704,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,40,"x_5+x_{12}-x_5-\operatorname{max}\left(x_3 \frac{x_8}{x_{10}}, x_5\right)",boston
"[-, max, x_12, x_12, max, *, *, -4.75, x_3, *, x_11, x_10, -, x_5, -, x_9, x_5]","(max(x_12,x_12)-max(((-4.75*x_3)*(x_11*x_10)),(x_5-(x_9-x_5))))",14.10775661468506,17.0,1234.0,704,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,40,"\operatorname{max}\left(x_{12}, x_{12}\right)-\operatorname{max}\left(-4.75\times x_3 x_{11} x_{10}, x_5-x_9-x_5\right)",boston
"[-, x_12, max, **3, x_3, x_5]","(x_12-max((x_3)**3,x_5))",15.75085163116455,6.0,1234.0,704,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,40,"x_{12}-\operatorname{max}\left({x_3}^3, x_5\right)",boston
[x_12],x_12,32.10724639892578,1.0,1234.0,705,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,40,x_{12},boston
"[-, x_12, x_5]",(x_12-x_5),25.76051902770996,3.0,1234.0,705,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,40,x_{12}-x_5,boston
"[-, x_12, max, max, x_5, 0.27, log, +, x_12, x_3]","(x_12-max(max(x_5,0.27),log(abs((x_12+x_3)))))",14.933453559875488,10.0,1234.0,705,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,40,"x_{12}-\operatorname{max}\left(\operatorname{max}\left(x_5, 0.27\right), \ln\left(|x_{12}+x_3|\right)\right)",boston
"[-, x_12, max, max, x_5, 0.27, x_3]","(x_12-max(max(x_5,0.27),x_3))",15.25147819519043,7.0,1234.0,705,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,40,"x_{12}-\operatorname{max}\left(\operatorname{max}\left(x_5, 0.27\right), x_3\right)",boston
"[-, x_12, max, *, max, x_0, x_12, x_3, x_5]","(x_12-max((max(x_0,x_12)*x_3),x_5))",14.936478614807127,9.0,1234.0,705,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,40,"x_{12}-\operatorname{max}\left(\operatorname{max}\left(x_0, x_{12}\right) x_3, x_5\right)",boston
"[-, x_12, max, **3, x_3, x_5]","(x_12-max((x_3)**3,x_5))",15.75085163116455,6.0,1234.0,705,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,40,"x_{12}-\operatorname{max}\left({x_3}^3, x_5\right)",boston
"[-, x_12, max, x_5, 0.27]","(x_12-max(x_5,0.27))",16.275373458862305,5.0,1234.0,705,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,40,"x_{12}-\operatorname{max}\left(x_5, 0.27\right)",boston
"[-, x_12, max, max, max, x_5, x_3, 0.27, log, -, x_12, x_9]","(x_12-max(max(max(x_5,x_3),0.27),log(abs((x_12-x_9)))))",14.459579467773438,12.0,1234.0,705,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,40,"x_{12}-\operatorname{max}\left(\operatorname{max}\left(\operatorname{max}\left(x_5, x_3\right), 0.27\right), \ln\left(|x_{12}-x_9|\right)\right)",boston
[x_12],x_12,32.10724639892578,1.0,1234.0,706,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,40,x_{12},boston
"[-, x_12, x_5]",(x_12-x_5),25.76051902770996,3.0,1234.0,706,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,40,x_{12}-x_5,boston
"[-, x_5, x_12]",(x_5-x_12),25.76051902770996,3.0,1234.0,706,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,40,x_5-x_{12},boston
"[-, max, x_3, x_5, x_12]","(max(x_3,x_5)-x_12)",15.75085163116455,5.0,1234.0,706,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,40,"\operatorname{max}\left(x_3, x_5\right)-x_{12}",boston
"[-, max, -, x_5, x_9, *, x_3, x_3, max, **3, x_10, x_12]","(max((x_5-x_9),(x_3*x_3))-max((x_10)**3,x_12))",14.360894203186035,12.0,1234.0,706,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,40,"\operatorname{max}\left(x_5-x_9, x_3 x_3\right)-\operatorname{max}\left({x_{10}}^3, x_{12}\right)",boston
"[-, x_12, max, -, x_5, x_12, x_3]","(x_12-max((x_5-x_12),x_3))",14.466769218444824,7.0,1234.0,706,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,40,"x_{12}-\operatorname{max}\left(x_5-x_{12}, x_3\right)",boston
"[-, max, -, x_5, x_12, max, **3, x_3, -, x_8, x_9, max, x_12, x_12]","(max((x_5-x_12),max((x_3)**3,(x_8-x_9)))-max(x_12,x_12))",14.265762329101562,14.0,1234.0,706,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,40,"\operatorname{max}\left(x_5-x_{12}, \operatorname{max}\left({x_3}^3, x_8-x_9\right)\right)-\operatorname{max}\left(x_{12}, x_{12}\right)",boston
[x_12],x_12,32.10724639892578,1.0,1234.0,707,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,40,x_{12},boston
"[-, x_5, x_12]",(x_5-x_12),25.76051902770996,3.0,1234.0,707,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,40,x_5-x_{12},boston
"[-, x_12, x_5]",(x_12-x_5),25.76051902770996,3.0,1234.0,707,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,40,x_{12}-x_5,boston
"[-, max, x_5, x_3, x_12]","(max(x_5,x_3)-x_12)",15.75085163116455,5.0,1234.0,707,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,40,"\operatorname{max}\left(x_5, x_3\right)-x_{12}",boston
"[-, -, max, x_5, x_12, x_12, x_12]","((max(x_5,x_12)-x_12)-x_12)",15.568231582641602,7.0,1234.0,707,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,40,"\operatorname{max}\left(x_5, x_{12}\right)-x_{12}-x_{12}",boston
"[-, max, x_5, max, log, x_12, x_3, x_12]","(max(x_5,max(log(abs(x_12)),x_3))-x_12)",14.602855682373049,8.0,1234.0,707,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,40,"\operatorname{max}\left(x_5, \operatorname{max}\left(\ln\left(|x_{12}|\right), x_3\right)\right)-x_{12}",boston
"[-, max, -, x_5, x_8, max, *, x_7, x_12, x_3, x_12]","(max((x_5-x_8),max((x_7*x_12),x_3))-x_12)",14.216115951538086,11.0,1234.0,707,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,40,"\operatorname{max}\left(x_5-x_8, \operatorname{max}\left(x_7 x_{12}, x_3\right)\right)-x_{12}",boston
[x_12],x_12,32.10724639892578,1.0,1234.0,708,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,40,x_{12},boston
"[-, x_5, x_12]",(x_5-x_12),25.76051902770996,3.0,1234.0,708,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,40,x_5-x_{12},boston
"[max, -, x_5, x_12, x_3]","max((x_5-x_12),x_3)",20.933971405029297,5.0,1234.0,708,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,40,"\operatorname{max}\left(x_5-x_{12}, x_3\right)",boston
"[**3, +, x_12, -2.21]",((x_12+-2.21))**3,24.91194725036621,4.0,1234.0,708,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,40,\left(x_{12}-2.21\right)^3,boston
"[-, max, **3, x_9, x_5, x_12]","(max((x_9)**3,x_5)-x_12)",20.18648147583008,6.0,1234.0,708,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,40,"\operatorname{max}\left({x_9}^3, x_5\right)-x_{12}",boston
"[-, max, -, x_5, x_12, x_3, x_12]","(max((x_5-x_12),x_3)-x_12)",14.466769218444824,7.0,1234.0,708,200,50,200,not_spcified,n_nodes,not_specified,not_specified,boston,40,"\operatorname{max}\left(x_5-x_{12}, x_3\right)-x_{12}",boston
