parsable_tree,readable_tree,accuracy,interpretability,ground_truth_value,seed,pop_size,num_gen,num_offsprings,encoder_type,ground_truth_type,sampling,warm-up,data,split_seed,latex_tree,problem
[x_4],x_4,22.431339263916016,-78.9000015258789,1234.0,700,200,50,200,not_spcified,elastic_model,not_specified,not_specified,heating,42,x_4,heating
"[+, +, x_4, x_6, x_4]",((x_4+x_6)+x_4),14.902466773986816,-77.0999984741211,1234.0,700,200,50,200,not_spcified,elastic_model,not_specified,not_specified,heating,42,x_4+x_6+x_4,heating
"[-, -, x_3, +, x_4, -, x_1, x_3, x_6]",((x_3-(x_4+(x_1-x_3)))-x_6),11.02369213104248,-75.30000305175781,1234.0,700,200,50,200,not_spcified,elastic_model,not_specified,not_specified,heating,42,x_3-x_4+x_1-x_3-x_6,heating
"[-, -, x_4, x_0, -, -, x_3, +, x_4, x_4, x_6]",((x_4-x_0)-((x_3-(x_4+x_4))-x_6)),9.312015533447266,-74.4000015258789,1234.0,700,200,50,200,not_spcified,elastic_model,not_specified,not_specified,heating,42,x_4-x_0-x_3-x_4+x_4-x_6,heating
"[-, -, x_1, x_2, +, x_6, x_4]",((x_1-x_2)-(x_6+x_4)),13.606904983520508,-76.19999694824219,1234.0,700,200,50,200,not_spcified,elastic_model,not_specified,not_specified,heating,42,x_1-x_2-x_6+x_4,heating
"[+, +, x_4, x_4, x_6]",((x_4+x_4)+x_6),14.902466773986816,-77.0999984741211,1234.0,700,200,50,200,not_spcified,elastic_model,not_specified,not_specified,heating,42,x_4+x_4+x_6,heating
[x_4],x_4,22.431339263916016,-78.9000015258789,1234.0,701,200,50,200,not_spcified,elastic_model,not_specified,not_specified,heating,42,x_4,heating
"[-, +, x_4, x_6, x_3]",((x_4+x_6)-x_3),15.57803726196289,-77.0999984741211,1234.0,701,200,50,200,not_spcified,elastic_model,not_specified,not_specified,heating,42,x_4+x_6-x_3,heating
"[+, -, *, **3, x_3, x_4, -, x_0, -, x_6, x_3, x_4]",((((x_3)**3*x_4)-(x_0-(x_6-x_3)))+x_4),9.405673027038574,-65.80000305175781,1234.0,701,200,50,200,not_spcified,elastic_model,not_specified,not_specified,heating,42,{x_3}^3 x_4-x_0-x_6-x_3+x_4,heating
"[+, -, *, **3, x_3, *, 1.87, x_4, -, x_0, -, x_6, x_3, x_4]",((((x_3)**3*(1.87*x_4))-(x_0-(x_6-x_3)))+x_4),9.175067901611328,-64.9000015258789,1234.0,701,200,50,200,not_spcified,elastic_model,not_specified,not_specified,heating,42,{x_3}^3 1.87\times x_4-x_0-x_6-x_3+x_4,heating
"[+, -, x_4, -, 1.87, -, x_6, x_3, +, +, 3.43, x_1, x_4]",((x_4-(1.87-(x_6-x_3)))+((3.43+x_1)+x_4)),9.756271362304688,-73.5,1234.0,701,200,50,200,not_spcified,elastic_model,not_specified,not_specified,heating,42,x_4-1.87-x_6-x_3+3.43+x_1+x_4,heating
"[+, x_4, -, *, 3.43, x_4, -, 1.87, -, x_6, x_0]",(x_4+((3.43*x_4)-(1.87-(x_6-x_0)))),10.3180513381958,-74.4000015258789,1234.0,701,200,50,200,not_spcified,elastic_model,not_specified,not_specified,heating,42,x_4+3.43\times x_4-1.87-x_6-x_0,heating
"[-, *, 3.43, x_4, -, 1.87, -, x_6, x_0]",((3.43*x_4)-(1.87-(x_6-x_0))),10.33226203918457,-75.30000305175781,1234.0,701,200,50,200,not_spcified,elastic_model,not_specified,not_specified,heating,42,3.43\times x_4-1.87-x_6-x_0,heating
"[+, -, x_1, 2.56, -, x_4, -, -, 3.52, x_4, -, x_6, x_3]",((x_1-2.56)+(x_4-((3.52-x_4)-(x_6-x_3)))),9.756271362304688,-73.5,1234.0,701,200,50,200,not_spcified,elastic_model,not_specified,not_specified,heating,42,x_1-2.56+x_4-3.52-x_4-x_6-x_3,heating
