parsable_tree,readable_tree,accuracy,interpretability,ground_truth_value,seed,pop_size,num_gen,num_offsprings,encoder_type,ground_truth_type,sampling,warm-up,data,split_seed,latex_tree,problem
[x_12],x_12,40.744754791259766,-78.9000015258789,1234.0,700,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,41,x_{12},boston
"[-, x_5, x_12]",(x_5-x_12),31.643882751464844,-78.0,1234.0,700,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,41,x_5-x_{12},boston
"[-, x_3, +, +, -, x_10, x_5, x_12, +, +, x_2, x_12, x_7]",(x_3-(((x_10-x_5)+x_12)+((x_2+x_12)+x_7))),25.339073181152344,-73.5,1234.0,700,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,41,x_3-x_{10}-x_5+x_{12}+x_2+x_{12}+x_7,boston
"[-, max, x_3, x_5, x_12]","(max(x_3,x_5)-x_12)",21.19835090637207,-69.19999694824219,1234.0,700,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,41,"\operatorname{max}\left(x_3, x_5\right)-x_{12}",boston
"[-, x_3, +, +, -, x_10, x_5, x_12, +, x_12, x_7]",(x_3-(((x_10-x_5)+x_12)+(x_12+x_7))),26.837114334106445,-74.4000015258789,1234.0,700,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,41,x_3-x_{10}-x_5+x_{12}+x_{12}+x_7,boston
"[+, x_12, -, x_10, x_5]",(x_12+(x_10-x_5)),27.90909194946289,-77.0999984741211,1234.0,700,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,41,x_{12}+x_{10}-x_5,boston
"[-, x_12, x_5]",(x_12-x_5),31.643882751464844,-78.0,1234.0,700,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,41,x_{12}-x_5,boston
"[-, max, -, x_5, x_9, max, x_3, -, x_5, x_10, x_12]","(max((x_5-x_9),max(x_3,(x_5-x_10)))-x_12)",18.670846939086918,-58.59999847412109,1234.0,700,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,41,"\operatorname{max}\left(x_5-x_9, \operatorname{max}\left(x_3, x_5-x_{10}\right)\right)-x_{12}",boston
"[-, +, +, x_7, x_12, x_10, -, x_5, x_12]",(((x_7+x_12)+x_10)-(x_5-x_12)),27.03034400939941,-75.30000305175781,1234.0,700,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,41,x_7+x_{12}+x_{10}-x_5-x_{12},boston
"[-, max, x_3, -, x_5, x_10, x_12]","(max(x_3,(x_5-x_10))-x_12)",19.302528381347656,-68.30000305175781,1234.0,700,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,41,"\operatorname{max}\left(x_3, x_5-x_{10}\right)-x_{12}",boston
[x_12],x_12,40.744754791259766,-78.9000015258789,1234.0,701,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,41,x_{12},boston
"[-, +, x_12, x_10, x_5]",((x_12+x_10)-x_5),27.90909194946289,-77.0999984741211,1234.0,701,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,41,x_{12}+x_{10}-x_5,boston
"[+, x_12, +, x_12, *, x_10, x_5]",(x_12+(x_12+(x_10*x_5))),27.1556396484375,-76.19999694824219,1234.0,701,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,41,x_{12}+x_{12}+x_{10} x_5,boston
