parsable_tree,readable_tree,accuracy,interpretability,ground_truth_value,seed,pop_size,num_gen,num_offsprings,encoder_type,ground_truth_type,sampling,warm-up,data,split_seed,latex_tree,problem
"[-, x_5, x_12]",(x_5-x_12),34.15042495727539,-78.0,1234.0,700,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,42,- x_{12} + x_{5},boston
[x_12],x_12,39.54974365234375,-78.9000015258789,1234.0,700,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,42,x_{12},boston
"[-, +, x_12, x_9, x_5]",((x_12+x_9)-x_5),32.46488952636719,-77.0999984741211,1234.0,700,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,42,x_{12} - x_{5} + x_{9},boston
"[-, x_12, x_5]",(x_12-x_5),34.15042495727539,-78.0,1234.0,700,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,42,x_{12} - x_{5},boston
"[-, -, x_5, +, x_10, *, x_5, x_8, x_12]",((x_5-(x_10+(x_5*x_8)))-x_12),24.050493240356445,-75.30000305175781,1234.0,700,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,42,- x_{12} + x_{5} - \left(x_{10} + x_{5} x_{8}\right),boston
"[-, -, x_5, +, x_10, x_12, x_12]",((x_5-(x_10+x_12))-x_12),28.021913528442383,-76.19999694824219,1234.0,700,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,42,- x_{12} + x_{5} - \left(x_{10} + x_{12}\right),boston
"[-, max, -, x_5, x_10, x_3, x_12]","(max((x_5-x_10),x_3)-x_12)",21.105897903442383,-68.30000305175781,1234.0,700,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,42,"- x_{12} + \max\left(x_{3}, - x_{10} + x_{5}\right)",boston
"[-, max, -, x_5, +, x_9, x_10, *, *, x_6, x_3, -, x_0, -3.46, x_12]","(max((x_5-(x_9+x_10)),((x_6*x_3)*(x_0--3.46)))-x_12)",19.92610740661621,-64.69999694824219,1234.0,700,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,42,"- x_{12} + \max\left(x_{3} x_{6} \left(x_{0} - -3.46\right), x_{5} - \left(x_{10} + x_{9}\right)\right)",boston
"[-, -, x_5, +, +, x_10, x_12, *, x_5, x_12, x_12]",((x_5-((x_10+x_12)+(x_5*x_12)))-x_12),23.21712875366211,-74.4000015258789,1234.0,700,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,42,- x_{12} + x_{5} - \left(x_{10} + x_{12} x_{5} + x_{12}\right),boston
"[-, max, -, -, x_5, x_0, x_10, x_3, x_12]","(max(((x_5-x_0)-x_10),x_3)-x_12)",20.74484062194824,-67.4000015258789,1234.0,700,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,42,"- x_{12} + \max\left(x_{3}, - x_{0} - x_{10} + x_{5}\right)",boston
[x_12],x_12,39.54974365234375,-78.9000015258789,1234.0,701,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,42,x_{12},boston
"[+, x_10, -, +, x_12, 2.81, max, x_10, x_5]","(x_10+((x_12+2.81)-max(x_10,x_5)))",21.829931259155277,-67.4000015258789,1234.0,701,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,42,"x_{10} + x_{12} - \max\left(x_{10}, x_{5}\right) + 2.81",boston
"[+, 2.81, -, +, x_12, x_10, max, x_10, x_5]","(2.81+((x_12+x_10)-max(x_10,x_5)))",21.829931259155277,-67.4000015258789,1234.0,701,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,42,"x_{10} + x_{12} - \max\left(x_{10}, x_{5}\right) + 2.81",boston
"[-, x_5, x_12]",(x_5-x_12),34.15042495727539,-78.0,1234.0,701,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,42,- x_{12} + x_{5},boston
"[-, x_12, x_5]",(x_12-x_5),34.15042495727539,-78.0,1234.0,701,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,42,x_{12} - x_{5},boston
"[+, /, -, x_2, +, x_2, x_5, +, x_10, 3.3, +, +, x_10, x_7, +, x_12, +, x_4, 3.3]",(((x_2-(x_2+x_5))/(x_10+3.3))+((x_10+x_7)+(x_12+(x_4+3.3)))),26.02688407897949,-70.80000305175781,1234.0,701,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,42,x_{10} + x_{12} + x_{4} + x_{7} + 3.3 + \frac{x_{2} - \left(x_{2} + x_{5}\right)}{x_{10} + 3.3},boston
"[+, +, x_12, -, +, x_12, 2.81, x_5, +, +, x_10, x_7, +, x_12, +, x_4, 3.3]",((x_12+((x_12+2.81)-x_5))+((x_10+x_7)+(x_12+(x_4+3.3)))),26.75927352905273,-71.69999694824219,1234.0,701,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,42,x_{10} + x_{12} + x_{12} + x_{12} + x_{4} - x_{5} + x_{7} + 2.81 + 3.3,boston
"[+, x_12, -, x_12, max, x_12, x_5]","(x_12+(x_12-max(x_12,x_5)))",22.779146194458008,-68.30000305175781,1234.0,701,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,42,"x_{12} + x_{12} - \max\left(x_{12}, x_{5}\right)",boston
"[+, /, -, x_2, +, x_2, x_5, +, +, x_12, x_10, 3.3, +, +, x_10, x_7, +, x_12, +, x_4, x_12]",(((x_2-(x_2+x_5))/((x_12+x_10)+3.3))+((x_10+x_7)+(x_12+(x_4+x_12)))),23.09937858581543,-69.9000015258789,1234.0,701,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,42,x_{10} + x_{12} + x_{12} + x_{4} + x_{7} + \frac{x_{2} - \left(x_{2} + x_{5}\right)}{x_{10} + x_{12} + 3.3},boston
"[+, /, x_2, +, x_4, 3.3, +, +, x_10, x_7, +, -, x_12, x_5, x_12]",((x_2/(x_4+3.3))+((x_10+x_7)+((x_12-x_5)+x_12))),27.59992408752441,-72.5999984741211,1234.0,701,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,42,x_{10} + x_{12} + x_{12} + \frac{x_{2}}{x_{4} + 3.3} - x_{5} + x_{7},boston
"[-, +, x_12, -, +, x_12, x_10, max, x_3, x_5, max, x_10, x_5]","((x_12+((x_12+x_10)-max(x_3,x_5)))-max(x_10,x_5))",20.65537643432617,-62.20000076293945,1234.0,701,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,42,"x_{10} + x_{12} + x_{12} - \max\left(x_{10}, x_{5}\right) - \max\left(x_{3}, x_{5}\right)",boston
"[+, /, x_12, x_12, -, +, x_12, x_10, max, x_10, x_5]","((x_12/x_12)+((x_12+x_10)-max(x_10,x_5)))",21.81849670410156,-66.5,1234.0,701,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,42,"x_{10} + x_{12} - \max\left(x_{10}, x_{5}\right) + \frac{x_{12}}{x_{12}}",boston
"[+, x_12, -, +, x_12, x_10, x_5]",(x_12+((x_12+x_10)-x_5)),28.021913528442383,-76.19999694824219,1234.0,701,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,42,x_{10} + x_{12} + x_{12} - x_{5},boston
"[-, +, x_10, x_12, x_5]",((x_10+x_12)-x_5),29.503374099731445,-77.0999984741211,1234.0,701,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,42,x_{10} + x_{12} - x_{5},boston
"[+, +, +, x_10, x_7, +, x_12, +, x_4, 3.3, -, +, x_12, 2.81, max, x_3, x_5]","(((x_10+x_7)+(x_12+(x_4+3.3)))+((x_12+2.81)-max(x_3,x_5)))",21.3397159576416,-63.79999923706055,1234.0,701,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,42,"x_{10} + x_{12} + x_{12} + x_{4} + x_{7} - \max\left(x_{3}, x_{5}\right) + 2.81 + 3.3",boston
